group,value,rows,accepted,abstained,excluded
overall,all,1004418,474587,528672,1159
tier,T1,536536,190111,345818,607
tier,T2,467882,284476,182854,552
sex,female,294335,130464,163748,123
sex,male,696040,337819,357188,1033
sex,unknown,14043,6304,7736,3
